test_year,horizon,cohort,contrast,metric,n,n_areas,point_delta,ci_low,ci_high,interval_status,interval_reason,first_calibration,second_calibration,diagnostic_only
2025,12,primary,augmented_D_residual-original_D_residual,auc,1100,904,0.04431524675986098,0.012212436833630783,0.07587235623028085,ok,,calibrated_unavailable,calibrated_unavailable,True
2025,12,primary,augmented_D_selected-original_D_selected,r2,1100,904,0.052470744028373595,-0.01972249336097252,0.1197553851129995,ok,,ok,ok,False
2025,12,primary,augmented_D_selected-original_D_selected,rmse,1100,904,-0.003172372260965284,-0.007289371482345248,0.0011494992264181297,ok,,ok,ok,False
2025,12,primary,augmented_D_selected-original_D_selected,auc,1100,904,0.12418521127459248,0.09487859887115194,0.1535901306112934,ok,,ok,ok,False
2025,12,share_history_subset,original_D_selected-share_persistence,r2,1048,874,0.9255619611851063,0.6901546866115189,1.1886540550654747,ok,,ok,ok,False
2025,12,share_history_subset,original_D_selected-share_persistence,rmse,1048,874,-0.04844689279870448,-0.05952646041510983,-0.03762600171342817,ok,,ok,ok,False
2025,12,share_history_subset,original_D_selected-share_persistence,auc,1048,874,-0.23685168997668998,-0.2768564151971519,-0.19591331667816306,ok,,ok,ok,False
2025,12,share_history_subset,augmented_D_selected-share_persistence,r2,1048,874,0.9622104912870686,0.7403143972053033,1.2074104055512784,ok,,ok,ok,False
2025,12,share_history_subset,augmented_D_selected-share_persistence,rmse,1048,874,-0.05066729398148284,-0.06096374640972428,-0.040469497141212646,ok,,ok,ok,False
2025,12,share_history_subset,augmented_D_selected-share_persistence,auc,1048,874,-0.11765370046620038,-0.15353036189046387,-0.08065823308311039,ok,,ok,ok,False
2026,0,primary,augmented_D_direct-original_D_direct,r2,904,904,-0.2520811250458127,-0.31024946483533716,-0.19718026105030617,ok,,ok,ok,False
2026,0,primary,augmented_D_direct-original_D_direct,rmse,904,904,0.0240426302456484,0.018530896111572902,0.029601005888493095,ok,,ok,ok,False
2026,0,primary,augmented_D_direct-original_D_direct,auc,904,904,-0.08623200582535151,-0.11246299291244252,-0.06043069873622292,ok,,ok,ok,False
2026,0,primary,augmented_D_residual-original_D_residual,r2,904,904,-0.10167961655077407,-0.12605587634489177,-0.07932485076828621,ok,,ok,ok,False
2026,0,primary,augmented_D_residual-original_D_residual,rmse,904,904,0.008601767012917871,0.00675543066490822,0.010551012885599984,ok,,ok,ok,False
2026,0,primary,augmented_D_residual-original_D_residual,auc,904,904,-0.037235911458731064,-0.05432117279307574,-0.021186975591938915,ok,,ok,ok,False
2026,0,primary,augmented_D_selected-original_D_selected,r2,904,904,-0.41186849451168317,-0.4837349015422522,-0.3445798385749599,ok,,ok,ok,False
2026,0,primary,augmented_D_selected-original_D_selected,rmse,904,904,0.03774446910029966,0.03152245544402575,0.043943826398596474,ok,,ok,ok,False
2026,0,primary,augmented_D_selected-original_D_selected,auc,904,904,-0.06909202935080938,-0.09566782887297398,-0.0437481256512568,ok,,ok,ok,False
2026,0,share_history_subset,original_D_selected-share_persistence,r2,904,904,0.020273627565328578,-0.02527223690631642,0.07114161337069401,ok,,ok,ok,False
2026,0,share_history_subset,original_D_selected-share_persistence,rmse,904,904,-0.002068833495693062,-0.007164364533859964,0.0027086547341277425,ok,,ok,ok,False
2026,0,share_history_subset,original_D_selected-share_persistence,auc,904,904,-0.01799290162590439,-0.03906821984318491,0.004649481754403313,ok,,ok,ok,False
