check,year,horizon,arm,cohort,pass,detail,contrast
metric_accuracy,2025,3,A,persistence_subset,True,,
metric_r2_q3,2025,3,A,persistence_subset,True,,
metric_f2,2025,3,B,persistence_subset,True,,
metric_precision,2025,3,B,persistence_subset,True,,
metric_recall,2025,3,B,persistence_subset,True,,
metric_accuracy,2025,3,B,persistence_subset,True,,
metric_r2_q3,2025,3,B,persistence_subset,True,,
metric_f2,2025,3,C,persistence_subset,True,,
metric_precision,2025,3,C,persistence_subset,True,,
metric_recall,2025,3,C,persistence_subset,True,,
metric_accuracy,2025,3,C,persistence_subset,True,,
metric_r2_q3,2025,3,C,persistence_subset,True,,
metric_f2,2025,3,D,persistence_subset,True,,
metric_precision,2025,3,D,persistence_subset,True,,
metric_recall,2025,3,D,persistence_subset,True,,
metric_accuracy,2025,3,D,persistence_subset,True,,
metric_r2_q3,2025,3,D,persistence_subset,True,,
metric_f2,2025,3,always_crisis,persistence_subset,True,,
metric_precision,2025,3,always_crisis,persistence_subset,True,,
metric_recall,2025,3,always_crisis,persistence_subset,True,,
metric_accuracy,2025,3,always_crisis,persistence_subset,True,,
metric_r2_q3,2025,3,always_crisis,persistence_subset,True,,
metric_f2,2025,3,persistence,persistence_subset,True,,
metric_precision,2025,3,persistence,persistence_subset,True,,
metric_recall,2025,3,persistence,persistence_subset,True,,
metric_accuracy,2025,3,persistence,persistence_subset,True,,
metric_r2_q3,2025,3,persistence,persistence_subset,True,,
metric_f2,2025,6,A,primary,True,,
metric_precision,2025,6,A,primary,True,,
metric_recall,2025,6,A,primary,True,,
metric_accuracy,2025,6,A,primary,True,,
metric_r2_q3,2025,6,A,primary,True,,
metric_f2,2025,6,B,primary,True,,
metric_precision,2025,6,B,primary,True,,
metric_recall,2025,6,B,primary,True,,
metric_accuracy,2025,6,B,primary,True,,
metric_r2_q3,2025,6,B,primary,True,,
metric_f2,2025,6,C,primary,True,,
metric_precision,2025,6,C,primary,True,,
metric_recall,2025,6,C,primary,True,,
metric_accuracy,2025,6,C,primary,True,,
metric_r2_q3,2025,6,C,primary,True,,
metric_f2,2025,6,D,primary,True,,
metric_precision,2025,6,D,primary,True,,
metric_recall,2025,6,D,primary,True,,
metric_accuracy,2025,6,D,primary,True,,
metric_r2_q3,2025,6,D,primary,True,,
metric_f2,2025,6,always_crisis,primary,True,,
metric_precision,2025,6,always_crisis,primary,True,,
metric_recall,2025,6,always_crisis,primary,True,,
metric_accuracy,2025,6,always_crisis,primary,True,,
metric_r2_q3,2025,6,always_crisis,primary,True,,
metric_f2,2025,6,A,persistence_subset,True,,
metric_precision,2025,6,A,persistence_subset,True,,
metric_recall,2025,6,A,persistence_subset,True,,
metric_accuracy,2025,6,A,persistence_subset,True,,
metric_r2_q3,2025,6,A,persistence_subset,True,,
