test_year,horizon,cohort,n_rows,n_areas,target_months,cohort_sha256,contrast,point_delta_f2,valid_draws,undefined_draws,ci_low,ci_high,interval_status,interval_reason,bootstrap_bundle,comparison_complete
2025,6,persistence_subset,269,132,2025-04;2025-07;2025-10,64403b0c593b9605f22ae7c25dfd62f483495652d332b4f8a99c7157961f38ca,B-always_crisis,0.003082292749315707,2000,0,0.0,0.00722872601750666,ok,,y2025_h06_persistence_subset,True
2025,6,persistence_subset,269,132,2025-04;2025-07;2025-10,64403b0c593b9605f22ae7c25dfd62f483495652d332b4f8a99c7157961f38ca,C-always_crisis,0.0010848518765692594,2000,0,-0.012071929392330599,0.010107360958166644,ok,,y2025_h06_persistence_subset,True
2025,6,persistence_subset,269,132,2025-04;2025-07;2025-10,64403b0c593b9605f22ae7c25dfd62f483495652d332b4f8a99c7157961f38ca,D-always_crisis,0.007551460101971497,2000,0,-0.011095439523196351,0.02264619692971712,ok,,y2025_h06_persistence_subset,True
2025,12,primary,1100,904,2025-04;2025-07;2025-10,2d89de95e7bb01710da351326433006e73d38c0c33488bcfa6c29e6360d3936e,B-A,0.011851834410599005,2000,0,-0.012527957043660979,0.03512981514543893,ok,,y2025_h12_primary,True
2025,12,primary,1100,904,2025-04;2025-07;2025-10,2d89de95e7bb01710da351326433006e73d38c0c33488bcfa6c29e6360d3936e,C-B,0.03485235166278566,2000,0,0.015340942886351789,0.05489793732432943,ok,,y2025_h12_primary,True
2025,12,primary,1100,904,2025-04;2025-07;2025-10,2d89de95e7bb01710da351326433006e73d38c0c33488bcfa6c29e6360d3936e,D-C,-0.03352949440551922,2000,0,-0.05411427997393446,-0.013516030484456197,ok,,y2025_h12_primary,True
2025,12,primary,1100,904,2025-04;2025-07;2025-10,2d89de95e7bb01710da351326433006e73d38c0c33488bcfa6c29e6360d3936e,A-always_crisis,-0.06679853205641173,2000,0,-0.08724264733944974,-0.047556660037047546,ok,,y2025_h12_primary,True
2025,12,primary,1100,904,2025-04;2025-07;2025-10,2d89de95e7bb01710da351326433006e73d38c0c33488bcfa6c29e6360d3936e,B-always_crisis,-0.054946697645812725,2000,0,-0.07303265156770383,-0.03775886245357146,ok,,y2025_h12_primary,True
2025,12,primary,1100,904,2025-04;2025-07;2025-10,2d89de95e7bb01710da351326433006e73d38c0c33488bcfa6c29e6360d3936e,C-always_crisis,-0.020094345983027062,2000,0,-0.03181747045117897,-0.008445875126956486,ok,,y2025_h12_primary,True
2025,12,primary,1100,904,2025-04;2025-07;2025-10,2d89de95e7bb01710da351326433006e73d38c0c33488bcfa6c29e6360d3936e,D-always_crisis,-0.053623840388546284,2000,0,-0.07405013791065256,-0.03432389518177315,ok,,y2025_h12_primary,True
