test_year,horizon,n_primary,cohort,branch,view,status,reason,n,n_areas,raw_r2,raw_rmse,raw_mae,raw_bias,raw_mean_truth,raw_mean_pred,final_r2,final_rmse,final_mae,final_bias,final_mean_truth,final_mean_pred,raw_auc,final_auc,final_within_month_auc,within_month_auc_months,within_month_auc_undefined_months,raw_within_month_auc,bin_f1,bin_recall,bin_precision,bin_f2,bin_tp,bin_fp,bin_fn,bin_tn,legacy_phase_accuracy,legacy_multiclass_macro_f1,legacy_f1,legacy_recall,legacy_precision,legacy_f2,legacy_tp,legacy_fp,legacy_fn,legacy_tn,q3_binary_vs_legacy_disagreements,n_clipped,n_fallback_direct,n_residual_branch
2025,3,275,share_history_subset,original,D_selected,ok,,256.0,132.0,-0.7634970418504379,0.17267931182911106,0.14503964793402702,0.10920113481115551,0.2169921875,0.3261933223111555,-0.2222002640928462,0.14375538697584506,0.11396760894502786,0.05265315180351264,0.2169921875,0.26964533930351264,0.6965378027893319,0.6965378027893319,0.7479388903835993,2.0,1.0,0.7479388903835993,0.7272727272727273,0.8955223880597015,0.6122448979591837,0.819672131147541,120.0,76.0,14.0,46.0,0.546875,0.2563877880230219,0.7226890756302521,0.9626865671641791,0.57847533632287,0.849802371541502,129.0,94.0,5.0,28.0,27.0,0.0,0.0,0.0
2025,3,275,primary,augmented,D_direct,ok,,275.0,132.0,-0.28606390075974186,0.14812026339878165,0.12016142405705019,0.05992690332911231,0.21363636363636362,0.27356326696547595,-0.28606390075974186,0.14812026339878165,0.12016142405705019,0.05992690332911231,0.21363636363636362,0.27356326696547595,0.6756613756613757,0.6756613756613757,0.7100552125178003,2.0,1.0,0.7100552125178003,0.7085714285714285,0.8857142857142857,0.5904761904761905,0.8051948051948052,124.0,86.0,16.0,49.0,0.5709090909090909,0.28269524780226785,0.7085714285714285,0.8857142857142857,0.5904761904761905,0.8051948051948052,124.0,86.0,16.0,49.0,0.0,0.0,0.0,0.0
2025,3,275,share_history_subset,augmented,D_direct,ok,,256.0,132.0,-0.14275171315841262,0.1390045070606778,0.11258222647593358,0.04963543989579194,0.2169921875,0.26662762739579193,-0.14275171315841262,0.1390045070606778,0.11258222647593358,0.04963543989579194,0.2169921875,0.26662762739579193,0.7047956936628333,0.7047956936628333,0.7220276573929989,2.0,1.0,0.7220276573929989,0.7261538461538461,0.8805970149253731,0.6178010471204188,0.811554332874828,118.0,73.0,16.0,49.0,0.58984375,0.2938966275659824,0.7261538461538461,0.8805970149253731,0.6178010471204188,0.811554332874828,118.0,73.0,16.0,49.0,0.0,0.0,0.0,0.0
2025,3,275,primary,augmented,D_residual,ok,,275.0,132.0,-0.8674665640367865,0.17848824489581813,0.14432678670130925,0.09450367253714927,0.21363636363636362,0.3081400361735129,-0.08923217329749344,0.13631493227569744,0.11502964729281313,0.04907131637684573,0.21363636363636362,0.2627076800132093,0.6886772486772487,0.6761904761904762,0.6996396074000981,2.0,1.0,0.7294362720450518,0.7070707070707071,1.0,0.546875,0.8578431372549019,140.0,116.0,0.0,19.0,0.52,0.25309065934065933,0.6834733893557423,0.8714285714285714,0.5622119815668203,0.7850707850707851,122.0,95.0,18.0,40.0,39.0,0.0,19.0,256.0
2025,3,275,share_history_subset,augmented,D_residual,ok,,256.0,132.0,-0.7300749535889894,0.17103516104008068,0.13740512927651707,0.0846827045574274,0.2169921875,0.3016748920574274,-0.0630180907388398,0.13406742535639124,0.11204597863908408,0.04437319910263253,0.2169921875,0.26136538660263253,0.7180694886224614,0.6919806704183998,0.7120605021378398,2.0,1.0,0.7463171044148087,0.7223719676549866,1.0,0.5654008438818565,0.8667529107373868,134.0,103.0,0.0,19.0,0.53515625,0.2613150992881229,0.6987951807228916,0.8656716417910447,0.5858585858585859,0.7901907356948229,116.0,82.0,18.0,40.0,39.0,0.0,0.0,256.0
2025,3,275,primary,augmented,D_selected,ok,,275.0,132.0,-0.28606390075974186,0.14812026339878165,0.12016142405705019,0.05992690332911231,0.21363636363636362,0.27356326696547595,-0.28606390075974186,0.14812026339878165,0.12016142405705019,0.05992690332911231,0.21363636363636362,0.27356326696547595,0.6756613756613757,0.6756613756613757,0.7100552125178003,2.0,1.0,0.7100552125178003,0.7085714285714285,0.8857142857142857,0.5904761904761905,0.8051948051948052,124.0,86.0,16.0,49.0,0.5709090909090909,0.28269524780226785,0.7085714285714285,0.8857142857142857,0.5904761904761905,0.8051948051948052,124.0,86.0,16.0,49.0,0.0,0.0,0.0,0.0
2025,3,275,share_history_subset,augmented,D_selected,ok,,256.0,132.0,-0.14275171315841262,0.1390045070606778,0.11258222647593358,0.04963543989579194,0.2169921875,0.26662762739579193,-0.14275171315841262,0.1390045070606778,0.11258222647593358,0.04963543989579194,0.2169921875,0.26662762739579193,0.7047956936628333,0.7047956936628333,0.7220276573929989,2.0,1.0,0.7220276573929989,0.7261538461538461,0.8805970149253731,0.6178010471204188,0.811554332874828,118.0,73.0,16.0,49.0,0.58984375,0.2938966275659824,0.7261538461538461,0.8805970149253731,0.6178010471204188,0.811554332874828,118.0,73.0,16.0,49.0,0.0,0.0,0.0,0.0
2025,3,275,share_history_subset,-,share_persistence,ok,,256.0,,,,,,,,-0.46994411247466705,0.1576534042506319,0.11830437818973223,0.0178814588250917,0.2169921875,0.23487364632509172,,0.7330560313188157,,,,,0.708171206225681,0.6791044776119403,0.7398373983739838,0.6904400606980273,91.0,32.0,43.0,90.0,,,,,,,,,,,,,,
2025,3,275,phase_persistence_subset,-,phase_persistence,ok,,258.0,,,,,,,,,,,,,,,,,,,,0.6926070038910506,0.664179104477612,0.7235772357723578,0.6752655538694993,89.0,34.0,45.0,90.0,0.5697674418604651,,,,,,,,,,,,,
2025,3,275,primary,-,always_crisis,ok,,275.0,,,,,,,,,,,,,,,,,,,,0.6746987951807228,1.0,0.509090909090909,0.8383233532934131,140.0,135.0,0.0,0.0,,,,,,,,,,,,,,
2025,6,275,primary,original,D_direct,ok,,275.0,132.0,-0.3026813093976888,0.1490741331708841,0.12343085862289777,0.08375440429557454,0.21363636363636362,0.2973907679319382,0.035651069709618954,0.12826267797454446,0.10054456657508248,-0.03525645500412304,0.21363636363636362,0.17837990863224062,0.7154497354497354,0.7154497354497354,0.7411916033964778,2.0,1.0,0.7411916033964778,0.6024096385542169,0.5357142857142857,0.6880733944954128,0.5605381165919282,75.0,34.0,65.0,101.0,0.56,0.26492464596596077,0.7115902964959568,0.9428571428571428,0.5714285714285714,0.8343868520859671,132.0,99.0,8.0,36.0,122.0,0.0,0.0,0.0
2025,6,275,share_history_subset,original,D_direct,ok,,255.0,132.0,-0.23221162736483936,0.14371225525820042,0.11832602932172663,0.07837175449904274,0.216078431372549,0.2944501858715918,0.035706184573504496,0.12713228247435243,0.09883933541426033,-0.040639104800654836,0.216078431372549,0.17543932657189423,0.7358560335264389,0.7358560335264389,0.7458330152024161,2.0,1.0,0.7458330152024161,0.6120689655172413,0.5338345864661654,0.7171717171717171,0.5625990491283677,71.0,28.0,62.0,94.0,0.5803921568627451,0.2763177710843373,0.7267441860465116,0.9398496240601504,0.5924170616113744,0.8411843876177658,125.0,86.0,8.0,36.0,112.0,0.0,0.0,0.0
2025,6,275,primary,original,D_residual,ok,,275.0,132.0,-0.9730285913411767,0.18346359150249814,0.1520818612934938,0.10998570156291157,0.21363636363636362,0.32362206519927517,-0.011394451342557899,0.13135405521716595,0.10840728294719658,0.027303114152970244,0.21363636363636362,0.24093947778933386,0.6539153439153439,0.6246825396825397,0.6821353430597032,2.0,1.0,0.7248726309594142,0.6871794871794872,0.9571428571428572,0.536,0.8271604938271605,134.0,116.0,6.0,19.0,0.5527272727272727,0.25144256575415996,0.6929133858267716,0.9428571428571428,0.5477178423236515,0.8239700374531835,132.0,109.0,8.0,26.0,9.0,0.0,20.0,255.0
2025,6,275,share_history_subset,original,D_residual,ok,,255.0,132.0,-0.9680060009919436,0.1816202891150678,0.14922416945668313,0.10666040841479836,0.216078431372549,0.3227388397873474,-0.006703166520808379,0.12989782245183923,0.1064367422227291,0.025138674798295194,0.216078431372549,0.24121710617084416,0.6631332429434241,0.6207013435227413,0.6817676595987066,2.0,1.0,0.7296607542793153,0.699724517906336,0.9548872180451128,0.5521739130434783,0.8333333333333334,127.0,103.0,6.0,19.0,0.5725490196078431,0.26210526315789473,0.7062146892655368,0.9398496240601504,0.5656108597285068,0.8300132802124834,125.0,96.0,8.0,26.0,9.0,0.0,0.0,255.0
2025,6,275,primary,original,D_selected,ok,,275.0,132.0,-0.3026813093976888,0.1490741331708841,0.12343085862289777,0.08375440429557454,0.21363636363636362,0.2973907679319382,0.035651069709618954,0.12826267797454446,0.10054456657508248,-0.03525645500412304,0.21363636363636362,0.17837990863224062,0.7154497354497354,0.7154497354497354,0.7411916033964778,2.0,1.0,0.7411916033964778,0.6024096385542169,0.5357142857142857,0.6880733944954128,0.5605381165919282,75.0,34.0,65.0,101.0,0.56,0.26492464596596077,0.7115902964959568,0.9428571428571428,0.5714285714285714,0.8343868520859671,132.0,99.0,8.0,36.0,122.0,0.0,0.0,0.0
2025,6,275,share_history_subset,original,D_selected,ok,,255.0,132.0,-0.23221162736483936,0.14371225525820042,0.11832602932172663,0.07837175449904274,0.216078431372549,0.2944501858715918,0.035706184573504496,0.12713228247435243,0.09883933541426033,-0.040639104800654836,0.216078431372549,0.17543932657189423,0.7358560335264389,0.7358560335264389,0.7458330152024161,2.0,1.0,0.7458330152024161,0.6120689655172413,0.5338345864661654,0.7171717171717171,0.5625990491283677,71.0,28.0,62.0,94.0,0.5803921568627451,0.2763177710843373,0.7267441860465116,0.9398496240601504,0.5924170616113744,0.8411843876177658,125.0,86.0,8.0,36.0,112.0,0.0,0.0,0.0
2025,6,275,primary,augmented,D_direct,ok,,275.0,132.0,-0.14338701960426725,0.139662506012454,0.11312671700119972,0.05593968807296319,0.21363636363636362,0.26957605170932686,-0.14338701960426725,0.139662506012454,0.11312671700119972,0.05593968807296319,0.21363636363636362,0.26957605170932686,0.7415873015873016,0.7415873015873016,0.7549368199726687,2.0,1.0,0.7549368199726687,0.7346938775510204,0.9,0.6206896551724138,0.8256880733944955,126.0,77.0,14.0,58.0,0.610909090909091,0.37096126657753603,0.7346938775510204,0.9,0.6206896551724138,0.8256880733944955,126.0,77.0,14.0,58.0,0.0,0.0,0.0,0.0
2025,6,275,share_history_subset,augmented,D_direct,ok,,255.0,132.0,-0.06406539671654143,0.1335473619691743,0.10705442216758634,0.04847940915647675,0.216078431372549,0.26455784052902576,-0.06406539671654143,0.1335473619691743,0.10705442216758634,0.04847940915647675,0.216078431372549,0.26455784052902576,0.7654998151115494,0.7654998151115494,0.7644400380787559,2.0,1.0,0.7644400380787559,0.7531645569620253,0.8947368421052632,0.6502732240437158,0.8321678321678322,119.0,64.0,14.0,58.0,0.6352941176470588,0.39355446195391475,0.7531645569620253,0.8947368421052632,0.6502732240437158,0.8321678321678322,119.0,64.0,14.0,58.0,0.0,0.0,0.0,0.0
