check,pass,detail
mapping_rows_y2025_h06_o2025-04_augmented_D_residual_residual,True,
mapping_rows_available_y2025_h06_o2025-04_augmented_D_residual_residual,True,
mapping_isotonic_y2025_h06_o2025-04_augmented_D_residual_residual,True,
mapping_rows_y2025_h06_o2025-04_augmented_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h06_o2025-04_augmented_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h06_o2025-04_augmented_D_residual_fallback_direct,True,
mapping_rows_y2026_h06_o2025-10_original_D_direct_direct,True,
mapping_rows_available_y2026_h06_o2025-10_original_D_direct_direct,True,
mapping_shift_y2026_h06_o2025-10_original_D_direct_direct,True,
mapping_rows_y2026_h06_o2025-10_original_D_residual_residual,True,
mapping_rows_available_y2026_h06_o2025-10_original_D_residual_residual,True,
mapping_shift_y2026_h06_o2025-10_original_D_residual_residual,True,
mapping_rows_y2026_h06_o2025-10_original_D_residual_fallback_direct,True,
mapping_rows_available_y2026_h06_o2025-10_original_D_residual_fallback_direct,True,
mapping_shift_y2026_h06_o2025-10_original_D_residual_fallback_direct,True,
mapping_rows_y2026_h06_o2025-10_original_D_selected_direct,True,
mapping_rows_available_y2026_h06_o2025-10_original_D_selected_direct,True,
mapping_shift_y2026_h06_o2025-10_original_D_selected_direct,True,
mapping_rows_y2026_h06_o2025-10_augmented_D_direct_direct,True,
mapping_rows_available_y2026_h06_o2025-10_augmented_D_direct_direct,True,
mapping_isotonic_y2026_h06_o2025-10_augmented_D_direct_direct,True,
mapping_rows_y2026_h06_o2025-10_augmented_D_residual_residual,True,
mapping_rows_available_y2026_h06_o2025-10_augmented_D_residual_residual,True,
mapping_shift_y2026_h06_o2025-10_augmented_D_residual_residual,True,
mapping_rows_y2026_h06_o2025-10_augmented_D_residual_fallback_direct,True,
mapping_rows_available_y2026_h06_o2025-10_augmented_D_residual_fallback_direct,True,
mapping_shift_y2026_h06_o2025-10_augmented_D_residual_fallback_direct,True,
mapping_rows_y2026_h06_o2025-10_augmented_D_selected_residual,True,
mapping_rows_available_y2026_h06_o2025-10_augmented_D_selected_residual,True,
mapping_shift_y2026_h06_o2025-10_augmented_D_selected_residual,True,
mapping_rows_y2026_h06_o2025-10_augmented_D_selected_fallback_direct,True,
mapping_rows_available_y2026_h06_o2025-10_augmented_D_selected_fallback_direct,True,
mapping_shift_y2026_h06_o2025-10_augmented_D_selected_fallback_direct,True,
mapping_rows_y2025_h12_o2024-04_original_D_direct_direct,True,
mapping_rows_available_y2025_h12_o2024-04_original_D_direct_direct,True,
mapping_shift_y2025_h12_o2024-04_original_D_direct_direct,True,
mapping_rows_y2025_h12_o2024-04_original_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h12_o2024-04_original_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h12_o2024-04_original_D_residual_fallback_direct,True,
mapping_rows_y2025_h12_o2024-04_original_D_selected_direct,True,
mapping_rows_available_y2025_h12_o2024-04_original_D_selected_direct,True,
mapping_shift_y2025_h12_o2024-04_original_D_selected_direct,True,
mapping_rows_y2025_h12_o2024-04_augmented_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h12_o2024-04_augmented_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h12_o2024-04_augmented_D_residual_fallback_direct,True,
mapping_rows_y2025_h12_o2024-07_original_D_direct_direct,True,
mapping_rows_available_y2025_h12_o2024-07_original_D_direct_direct,True,
mapping_shift_y2025_h12_o2024-07_original_D_direct_direct,True,
mapping_rows_y2025_h12_o2024-07_original_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h12_o2024-07_original_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h12_o2024-07_original_D_residual_fallback_direct,True,
mapping_rows_y2025_h12_o2024-07_original_D_selected_direct,True,
mapping_rows_available_y2025_h12_o2024-07_original_D_selected_direct,True,
mapping_shift_y2025_h12_o2024-07_original_D_selected_direct,True,
mapping_rows_y2025_h12_o2024-07_augmented_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h12_o2024-07_augmented_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h12_o2024-07_augmented_D_residual_fallback_direct,True,
mapping_rows_y2025_h12_o2024-09_original_D_direct_direct,True,
mapping_rows_available_y2025_h12_o2024-09_original_D_direct_direct,True,
mapping_shift_y2025_h12_o2024-09_original_D_direct_direct,True,
mapping_rows_y2025_h12_o2024-09_original_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h12_o2024-09_original_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h12_o2024-09_original_D_residual_fallback_direct,True,
mapping_rows_y2025_h12_o2024-09_original_D_selected_direct,True,
mapping_rows_available_y2025_h12_o2024-09_original_D_selected_direct,True,
mapping_shift_y2025_h12_o2024-09_original_D_selected_direct,True,
mapping_rows_y2025_h12_o2024-09_augmented_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h12_o2024-09_augmented_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h12_o2024-09_augmented_D_residual_fallback_direct,True,
mapping_rows_y2025_h12_o2024-10_original_D_direct_direct,True,
mapping_rows_available_y2025_h12_o2024-10_original_D_direct_direct,True,
mapping_shift_y2025_h12_o2024-10_original_D_direct_direct,True,
mapping_rows_y2025_h12_o2024-10_original_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h12_o2024-10_original_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h12_o2024-10_original_D_residual_fallback_direct,True,
mapping_rows_y2025_h12_o2024-10_original_D_selected_direct,True,
mapping_rows_available_y2025_h12_o2024-10_original_D_selected_direct,True,
mapping_shift_y2025_h12_o2024-10_original_D_selected_direct,True,
mapping_rows_y2025_h12_o2024-10_augmented_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h12_o2024-10_augmented_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h12_o2024-10_augmented_D_residual_fallback_direct,True,
mapping_rows_y2026_h12_o2025-04_original_D_direct_direct,True,
mapping_rows_available_y2026_h12_o2025-04_original_D_direct_direct,True,
mapping_shift_y2026_h12_o2025-04_original_D_direct_direct,True,
mapping_rows_y2026_h12_o2025-04_original_D_residual_fallback_direct,True,
mapping_rows_available_y2026_h12_o2025-04_original_D_residual_fallback_direct,True,
mapping_shift_y2026_h12_o2025-04_original_D_residual_fallback_direct,True,
mapping_rows_y2026_h12_o2025-04_original_D_selected_direct,True,
mapping_rows_available_y2026_h12_o2025-04_original_D_selected_direct,True,
mapping_shift_y2026_h12_o2025-04_original_D_selected_direct,True,
