branch,fold,view,formulation,bundle,bundle_order,method,method_order,formulation_order,status,reason,n,rmse,auc
augmented,2025,D_residual,residual,X1,0,none,0,1,ok,,2826,0.1679683557147343,0.7296068754758533
augmented,2025,D_residual,residual,X1,0,shift,1,1,ok,,2826,0.17261042298831997,0.7354905185666254
augmented,2025,D_residual,residual,X1,0,isotonic,2,1,ok,,2826,0.15817363460050995,0.7077616610112157
augmented,2025,D_residual,residual,X2,1,none,0,1,ok,,2826,0.16720796033202817,0.7342202378652057
augmented,2025,D_residual,residual,X2,1,shift,1,1,ok,,2826,0.1719886474050032,0.7431094423864213
augmented,2025,D_residual,residual,X2,1,isotonic,2,1,ok,,2826,0.157883888747091,0.7112287092472521
augmented,2025,D_residual,residual,X3,2,none,0,1,ok,,2826,0.16626732338839106,0.734812466718495
augmented,2025,D_residual,residual,X3,2,shift,1,1,ok,,2826,0.17066023892483206,0.7427995260161618
augmented,2025,D_residual,residual,X3,2,isotonic,2,1,ok,,2826,0.15722164010423956,0.7155075627122677
augmented,2025,D_residual,residual,X4,3,none,0,1,ok,,2826,0.16989764865494372,0.7297213061356416
augmented,2025,D_residual,residual,X4,3,shift,1,1,ok,,2826,0.1742819271390179,0.7405713904278752
augmented,2025,D_residual,residual,X4,3,isotonic,2,1,ok,,2826,0.1600131996348835,0.7069837332802
augmented,2025,D_residual,residual,X5,4,none,0,1,ok,,2826,0.16864446076044756,0.7304944659224993
augmented,2025,D_residual,residual,X5,4,shift,1,1,ok,,2826,0.1728014389125317,0.7411297417832011
augmented,2025,D_residual,residual,X5,4,isotonic,2,1,ok,,2826,0.15947153409780385,0.7075157354704429
augmented,2025,D_residual,residual,X6,5,none,0,1,ok,,2826,0.1756893539641302,0.7203743789752736
augmented,2025,D_residual,residual,X6,5,shift,1,1,ok,,2826,0.1795389158695817,0.731259093598759
augmented,2025,D_residual,residual,X6,5,isotonic,2,1,ok,,2826,0.16521836145634633,0.6838639720588434
augmented,2026,D_direct,direct,X1,0,none,0,0,ok,,972,0.18767781311383486,0.6978296861503023
augmented,2026,D_direct,direct,X1,0,shift,1,0,ok,,972,0.1403852170430387,0.70291354736539
augmented,2026,D_direct,direct,X1,0,isotonic,2,0,ok,,972,0.12374749470850761,0.6578696372012668
augmented,2026,D_direct,direct,X2,1,none,0,0,ok,,972,0.17785826026101267,0.7497930463576159
augmented,2026,D_direct,direct,X2,1,shift,1,0,ok,,972,0.1341666582822403,0.7549084005182839
augmented,2026,D_direct,direct,X2,1,isotonic,2,0,ok,,972,0.12065993863690543,0.7449138892887993
augmented,2026,D_direct,direct,X3,2,none,0,0,ok,,972,0.17884129035283006,0.7498200403109704
augmented,2026,D_direct,direct,X3,2,shift,1,0,ok,,972,0.13490943526646462,0.7548139216815433
augmented,2026,D_direct,direct,X3,2,isotonic,2,0,ok,,972,0.12040949609069185,0.743982597898071
augmented,2026,D_direct,direct,X4,3,none,0,0,ok,,972,0.1781425295495284,0.7259978764756694
augmented,2026,D_direct,direct,X4,3,shift,1,0,ok,,972,0.13953158628245962,0.7318825583069393
augmented,2026,D_direct,direct,X4,3,isotonic,2,0,ok,,972,0.1214269834488909,0.7111826950763027
augmented,2026,D_direct,direct,X5,4,none,0,0,ok,,972,0.17926500204262952,0.7263150554275841
augmented,2026,D_direct,direct,X5,4,shift,1,0,ok,,972,0.13998398329712367,0.7319702886553411
augmented,2026,D_direct,direct,X5,4,isotonic,2,0,ok,,972,0.12155905099779678,0.728456575727037
augmented,2026,D_direct,direct,X6,5,none,0,0,ok,,972,0.17866016612004293,0.6989724301756406
augmented,2026,D_direct,direct,X6,5,shift,1,0,ok,,972,0.1394270277201511,0.7041282752663403
augmented,2026,D_direct,direct,X6,5,isotonic,2,0,ok,,972,0.12263250556122428,0.6907820148286783
augmented,2026,D_residual,residual,X1,0,none,0,1,ok,,972,0.17540436100867632,0.6838873092427296
augmented,2026,D_residual,residual,X1,0,shift,1,1,ok,,972,0.1270919702824427,0.704726641232364
augmented,2026,D_residual,residual,X1,0,isotonic,2,1,ok,,972,0.12237418128240247,0.6789946551972358
augmented,2026,D_residual,residual,X2,1,none,0,1,ok,,972,0.1635230775717334,0.6984213036279874
augmented,2026,D_residual,residual,X2,1,shift,1,1,ok,,972,0.11585469323373364,0.7242590159804203
augmented,2026,D_residual,residual,X2,1,isotonic,2,1,ok,,972,0.12018206060347743,0.699854232651886
augmented,2026,D_residual,residual,X3,2,none,0,1,ok,,972,0.16565914121844666,0.6909732219982724
augmented,2026,D_residual,residual,X3,2,shift,1,1,ok,,972,0.11655502272809648,0.7164555139648718
augmented,2026,D_residual,residual,X3,2,isotonic,2,1,ok,,972,0.12043806575063719,0.6818987546789519
augmented,2026,D_residual,residual,X4,3,none,0,1,ok,,972,0.17664372746206508,0.6678169090123811
augmented,2026,D_residual,residual,X4,3,shift,1,1,ok,,972,0.12616308236941717,0.68892618053556
augmented,2026,D_residual,residual,X4,3,isotonic,2,1,ok,,972,0.12252877704374499,0.6936951122948459
augmented,2026,D_residual,residual,X5,4,none,0,1,ok,,972,0.1784978804427724,0.6637048301180535
augmented,2026,D_residual,residual,X5,4,shift,1,1,ok,,972,0.1269218493717316,0.6836848545925712
augmented,2026,D_residual,residual,X5,4,isotonic,2,1,ok,,972,0.12280233050299003,0.6645506406564929
augmented,2026,D_residual,residual,X6,5,none,0,1,ok,,972,0.16882622550564505,0.68610531241002
augmented,2026,D_residual,residual,X6,5,shift,1,1,ok,,972,0.12082621033116885,0.7154027497840484
augmented,2026,D_residual,residual,X6,5,isotonic,2,1,ok,,972,0.12299203306784963,0.641149132594299
