check,pass,detail
bootstrap_whole_area_y2025_h00_D_residual-D_direct__auc,True,
bootstrap_y2025_h00_D_selected-share_persistence__r2,True,
bootstrap_whole_area_y2025_h00_D_selected-share_persistence__r2,True,
bootstrap_y2025_h00_D_selected-share_persistence__rmse,True,
bootstrap_whole_area_y2025_h00_D_selected-share_persistence__rmse,True,
bootstrap_y2025_h00_D_selected-share_persistence__auc,True,
bootstrap_whole_area_y2025_h00_D_selected-share_persistence__auc,True,
bootstrap_y2025_h03_D_direct-v1_D_isotonic__r2,True,
bootstrap_whole_area_y2025_h03_D_direct-v1_D_isotonic__r2,True,
bootstrap_y2025_h03_D_direct-v1_D_isotonic__rmse,True,
bootstrap_whole_area_y2025_h03_D_direct-v1_D_isotonic__rmse,True,
bootstrap_y2025_h03_D_direct-v1_D_isotonic__auc,True,
bootstrap_whole_area_y2025_h03_D_direct-v1_D_isotonic__auc,True,
bootstrap_y2025_h03_D_residual-D_direct__r2,True,
bootstrap_whole_area_y2025_h03_D_residual-D_direct__r2,True,
bootstrap_y2025_h03_D_residual-D_direct__rmse,True,
bootstrap_whole_area_y2025_h03_D_residual-D_direct__rmse,True,
bootstrap_y2025_h03_D_residual-D_direct__auc,True,
bootstrap_whole_area_y2025_h03_D_residual-D_direct__auc,True,
bootstrap_y2025_h03_D_selected-share_persistence__r2,True,
bootstrap_whole_area_y2025_h03_D_selected-share_persistence__r2,True,
bootstrap_y2025_h03_D_selected-share_persistence__rmse,True,
bootstrap_whole_area_y2025_h03_D_selected-share_persistence__rmse,True,
bootstrap_y2025_h03_D_selected-share_persistence__auc,True,
bootstrap_whole_area_y2025_h03_D_selected-share_persistence__auc,True,
bootstrap_y2025_h06_D_direct-v1_D_isotonic__r2,True,
bootstrap_whole_area_y2025_h06_D_direct-v1_D_isotonic__r2,True,
bootstrap_y2025_h06_D_direct-v1_D_isotonic__rmse,True,
bootstrap_whole_area_y2025_h06_D_direct-v1_D_isotonic__rmse,True,
bootstrap_y2025_h06_D_direct-v1_D_isotonic__auc,True,
bootstrap_whole_area_y2025_h06_D_direct-v1_D_isotonic__auc,True,
bootstrap_y2025_h06_D_residual-D_direct__r2,True,
bootstrap_whole_area_y2025_h06_D_residual-D_direct__r2,True,
bootstrap_y2025_h06_D_residual-D_direct__rmse,True,
bootstrap_whole_area_y2025_h06_D_residual-D_direct__rmse,True,
bootstrap_y2025_h06_D_residual-D_direct__auc,True,
bootstrap_whole_area_y2025_h06_D_residual-D_direct__auc,True,
bootstrap_y2025_h06_D_selected-share_persistence__r2,True,
bootstrap_whole_area_y2025_h06_D_selected-share_persistence__r2,True,
bootstrap_y2025_h06_D_selected-share_persistence__rmse,True,
bootstrap_whole_area_y2025_h06_D_selected-share_persistence__rmse,True,
bootstrap_y2025_h06_D_selected-share_persistence__auc,True,
bootstrap_whole_area_y2025_h06_D_selected-share_persistence__auc,True,
bootstrap_y2025_h12_D_direct-v1_D_isotonic__r2,True,
bootstrap_whole_area_y2025_h12_D_direct-v1_D_isotonic__r2,True,
bootstrap_y2025_h12_D_direct-v1_D_isotonic__rmse,True,
bootstrap_whole_area_y2025_h12_D_direct-v1_D_isotonic__rmse,True,
bootstrap_y2025_h12_D_direct-v1_D_isotonic__auc,True,
bootstrap_whole_area_y2025_h12_D_direct-v1_D_isotonic__auc,True,
bootstrap_y2025_h12_D_residual-D_direct__r2,True,
bootstrap_whole_area_y2025_h12_D_residual-D_direct__r2,True,
bootstrap_y2025_h12_D_residual-D_direct__rmse,True,
bootstrap_whole_area_y2025_h12_D_residual-D_direct__rmse,True,
bootstrap_y2025_h12_D_residual-D_direct__auc,True,
bootstrap_whole_area_y2025_h12_D_residual-D_direct__auc,True,
bootstrap_y2025_h12_D_selected-share_persistence__r2,True,
bootstrap_whole_area_y2025_h12_D_selected-share_persistence__r2,True,
bootstrap_y2025_h12_D_selected-share_persistence__rmse,True,
bootstrap_whole_area_y2025_h12_D_selected-share_persistence__rmse,True,
bootstrap_y2025_h12_D_selected-share_persistence__auc,True,
bootstrap_whole_area_y2025_h12_D_selected-share_persistence__auc,True,
bootstrap_y2026_h00_D_direct-v1_D_isotonic__r2,True,
bootstrap_whole_area_y2026_h00_D_direct-v1_D_isotonic__r2,True,
bootstrap_y2026_h00_D_direct-v1_D_isotonic__rmse,True,
bootstrap_whole_area_y2026_h00_D_direct-v1_D_isotonic__rmse,True,
bootstrap_y2026_h00_D_direct-v1_D_isotonic__auc,True,
bootstrap_whole_area_y2026_h00_D_direct-v1_D_isotonic__auc,True,
bootstrap_y2026_h00_D_residual-D_direct__r2,True,
bootstrap_whole_area_y2026_h00_D_residual-D_direct__r2,True,
bootstrap_y2026_h00_D_residual-D_direct__rmse,True,
bootstrap_whole_area_y2026_h00_D_residual-D_direct__rmse,True,
bootstrap_y2026_h00_D_residual-D_direct__auc,True,
bootstrap_whole_area_y2026_h00_D_residual-D_direct__auc,True,
bootstrap_y2026_h00_D_selected-share_persistence__r2,True,
bootstrap_whole_area_y2026_h00_D_selected-share_persistence__r2,True,
bootstrap_y2026_h00_D_selected-share_persistence__rmse,True,
bootstrap_whole_area_y2026_h00_D_selected-share_persistence__rmse,True,
bootstrap_y2026_h00_D_selected-share_persistence__auc,True,
bootstrap_whole_area_y2026_h00_D_selected-share_persistence__auc,True,
bootstrap_y2026_h12_D_direct-v1_D_isotonic__r2,True,
bootstrap_whole_area_y2026_h12_D_direct-v1_D_isotonic__r2,True,
bootstrap_y2026_h12_D_direct-v1_D_isotonic__rmse,True,
bootstrap_whole_area_y2026_h12_D_direct-v1_D_isotonic__rmse,True,
bootstrap_y2026_h12_D_direct-v1_D_isotonic__auc,True,
bootstrap_whole_area_y2026_h12_D_direct-v1_D_isotonic__auc,True,
bootstrap_y2026_h12_D_residual-D_direct__r2,True,
bootstrap_whole_area_y2026_h12_D_residual-D_direct__r2,True,
bootstrap_y2026_h12_D_residual-D_direct__rmse,True,
bootstrap_whole_area_y2026_h12_D_residual-D_direct__rmse,True,
