scope,horizon,arm,formulation,bundle,v,status,reason,n_fit,fit_max_target_ord,fit_label_cutoff_ord,weight_origin_ord,model_kind
2025,0,B,direct,X2,24276,ok,,1129,24273.0,24275,24276,xgboost
2025,0,B,direct,X2,24278,ok,,1653,24276.0,24277,24278,xgboost
2025,0,B,direct,X2,24283,ok,,1998,24278.0,24282,24283,xgboost
2025,0,B,direct,X2,24288,ok,,2346,24283.0,24287,24288,xgboost
2025,0,B,direct,X2,24294,ok,,2702,24288.0,24293,24294,xgboost
2025,0,B,direct,X3,24273,ok,,603,24270.0,24272,24273,xgboost
2025,0,B,direct,X3,24276,ok,,1129,24273.0,24275,24276,xgboost
2025,0,B,direct,X3,24278,ok,,1653,24276.0,24277,24278,xgboost
2025,0,B,direct,X3,24283,ok,,1998,24278.0,24282,24283,xgboost
2025,0,B,direct,X3,24288,ok,,2346,24283.0,24287,24288,xgboost
2025,0,B,direct,X3,24294,ok,,2702,24288.0,24293,24294,xgboost
2025,0,B,direct,X4,24273,ok,,603,24270.0,24272,24273,xgboost
2025,0,B,direct,X4,24276,ok,,1129,24273.0,24275,24276,xgboost
2025,0,B,direct,X4,24278,ok,,1653,24276.0,24277,24278,xgboost
2025,0,B,direct,X4,24283,ok,,1998,24278.0,24282,24283,xgboost
2025,0,B,direct,X4,24288,ok,,2346,24283.0,24287,24288,xgboost
2025,0,B,direct,X4,24294,ok,,2702,24288.0,24293,24294,xgboost
2025,0,B,direct,X5,24273,ok,,603,24270.0,24272,24273,xgboost
2025,0,B,direct,X5,24276,ok,,1129,24273.0,24275,24276,xgboost
2025,0,B,direct,X5,24278,ok,,1653,24276.0,24277,24278,xgboost
2025,0,B,direct,X5,24283,ok,,1998,24278.0,24282,24283,xgboost
2025,0,B,direct,X5,24288,ok,,2346,24283.0,24287,24288,xgboost
2025,0,B,direct,X5,24294,ok,,2702,24288.0,24293,24294,xgboost
2025,0,B,direct,X6,24273,ok,,603,24270.0,24272,24273,xgboost
2025,0,B,direct,X6,24276,ok,,1129,24273.0,24275,24276,xgboost
2025,0,B,direct,X6,24278,ok,,1653,24276.0,24277,24278,xgboost
2025,0,B,direct,X6,24283,ok,,1998,24278.0,24282,24283,xgboost
2025,0,B,direct,X6,24288,ok,,2346,24283.0,24287,24288,xgboost
2025,0,B,direct,X6,24294,ok,,2702,24288.0,24293,24294,xgboost
2025,0,D,direct,X1,24273,ok,,603,24270.0,24272,24273,xgboost
2025,0,D,direct,X1,24276,ok,,1129,24273.0,24275,24276,xgboost
2025,0,D,direct,X1,24278,ok,,1653,24276.0,24277,24278,xgboost
2025,0,D,direct,X1,24283,ok,,1998,24278.0,24282,24283,xgboost
2025,0,D,direct,X1,24288,ok,,2346,24283.0,24287,24288,xgboost
2025,0,D,direct,X1,24294,ok,,2702,24288.0,24293,24294,xgboost
2025,0,D,direct,X2,24273,ok,,603,24270.0,24272,24273,xgboost
2025,0,D,direct,X2,24276,ok,,1129,24273.0,24275,24276,xgboost
2025,0,D,direct,X2,24278,ok,,1653,24276.0,24277,24278,xgboost
2025,0,D,direct,X2,24283,ok,,1998,24278.0,24282,24283,xgboost
2025,0,D,direct,X2,24288,ok,,2346,24283.0,24287,24288,xgboost
2025,0,D,direct,X2,24294,ok,,2702,24288.0,24293,24294,xgboost
2025,0,D,direct,X3,24273,ok,,603,24270.0,24272,24273,xgboost
2025,0,D,direct,X3,24276,ok,,1129,24273.0,24275,24276,xgboost
2025,0,D,direct,X3,24278,ok,,1653,24276.0,24277,24278,xgboost
2025,0,D,direct,X3,24283,ok,,1998,24278.0,24282,24283,xgboost
2025,0,D,direct,X3,24288,ok,,2346,24283.0,24287,24288,xgboost
2025,0,D,direct,X3,24294,ok,,2702,24288.0,24293,24294,xgboost
2025,0,D,direct,X4,24273,ok,,603,24270.0,24272,24273,xgboost
2025,0,D,direct,X4,24276,ok,,1129,24273.0,24275,24276,xgboost
2025,0,D,direct,X4,24278,ok,,1653,24276.0,24277,24278,xgboost
2025,0,D,direct,X4,24283,ok,,1998,24278.0,24282,24283,xgboost
2025,0,D,direct,X4,24288,ok,,2346,24283.0,24287,24288,xgboost
2025,0,D,direct,X4,24294,ok,,2702,24288.0,24293,24294,xgboost
2025,0,D,direct,X5,24273,ok,,603,24270.0,24272,24273,xgboost
2025,0,D,direct,X5,24276,ok,,1129,24273.0,24275,24276,xgboost
2025,0,D,direct,X5,24278,ok,,1653,24276.0,24277,24278,xgboost
2025,0,D,direct,X5,24283,ok,,1998,24278.0,24282,24283,xgboost
2025,0,D,direct,X5,24288,ok,,2346,24283.0,24287,24288,xgboost
2025,0,D,direct,X5,24294,ok,,2702,24288.0,24293,24294,xgboost
2025,0,D,direct,X6,24273,ok,,603,24270.0,24272,24273,xgboost
2025,0,D,direct,X6,24276,ok,,1129,24273.0,24275,24276,xgboost
2025,0,D,direct,X6,24278,ok,,1653,24276.0,24277,24278,xgboost
2025,0,D,direct,X6,24283,ok,,1998,24278.0,24282,24283,xgboost
2025,0,D,direct,X6,24288,ok,,2346,24283.0,24287,24288,xgboost
2025,0,D,direct,X6,24294,ok,,2702,24288.0,24293,24294,xgboost
2025,0,D,residual,X1,24273,ok,,118,24270.0,24272,24273,xgboost
2025,0,D,residual,X1,24276,ok,,619,24273.0,24275,24276,xgboost
2025,0,D,residual,X1,24278,ok,,1100,24276.0,24277,24278,xgboost
2025,0,D,residual,X1,24283,ok,,1295,24278.0,24282,24283,xgboost
2025,0,D,residual,X1,24288,ok,,1616,24283.0,24287,24288,xgboost
2025,0,D,residual,X1,24294,ok,,1955,24288.0,24293,24294,xgboost
2025,0,D,residual,X2,24273,ok,,118,24270.0,24272,24273,xgboost
2025,0,D,residual,X2,24276,ok,,619,24273.0,24275,24276,xgboost
2025,0,D,residual,X2,24278,ok,,1100,24276.0,24277,24278,xgboost
2025,0,D,residual,X2,24283,ok,,1295,24278.0,24282,24283,xgboost
2025,0,D,residual,X2,24288,ok,,1616,24283.0,24287,24288,xgboost
2025,0,D,residual,X2,24294,ok,,1955,24288.0,24293,24294,xgboost
2025,0,D,residual,X3,24273,ok,,118,24270.0,24272,24273,xgboost
2025,0,D,residual,X3,24276,ok,,619,24273.0,24275,24276,xgboost
2025,0,D,residual,X3,24278,ok,,1100,24276.0,24277,24278,xgboost
2025,0,D,residual,X3,24283,ok,,1295,24278.0,24282,24283,xgboost
2025,0,D,residual,X3,24288,ok,,1616,24283.0,24287,24288,xgboost
2025,0,D,residual,X3,24294,ok,,1955,24288.0,24293,24294,xgboost
2025,0,D,residual,X4,24273,ok,,118,24270.0,24272,24273,xgboost
2025,0,D,residual,X4,24276,ok,,619,24273.0,24275,24276,xgboost
2025,0,D,residual,X4,24278,ok,,1100,24276.0,24277,24278,xgboost
2025,0,D,residual,X4,24283,ok,,1295,24278.0,24282,24283,xgboost
2025,0,D,residual,X4,24288,ok,,1616,24283.0,24287,24288,xgboost
2025,0,D,residual,X4,24294,ok,,1955,24288.0,24293,24294,xgboost
2025,0,D,residual,X5,24273,ok,,118,24270.0,24272,24273,xgboost
2025,0,D,residual,X5,24276,ok,,619,24273.0,24275,24276,xgboost
2025,0,D,residual,X5,24278,ok,,1100,24276.0,24277,24278,xgboost
2025,0,D,residual,X5,24283,ok,,1295,24278.0,24282,24283,xgboost
2025,0,D,residual,X5,24288,ok,,1616,24283.0,24287,24288,xgboost
2025,0,D,residual,X5,24294,ok,,1955,24288.0,24293,24294,xgboost
2025,0,D,residual,X6,24273,ok,,118,24270.0,24272,24273,xgboost
2025,0,D,residual,X6,24276,ok,,619,24273.0,24275,24276,xgboost
2025,0,D,residual,X6,24278,ok,,1100,24276.0,24277,24278,xgboost
2025,0,D,residual,X6,24283,ok,,1295,24278.0,24282,24283,xgboost
2025,0,D,residual,X6,24288,ok,,1616,24283.0,24287,24288,xgboost
2025,0,D,residual,X6,24294,ok,,1955,24288.0,24293,24294,xgboost
2026,0,A,direct,X1,24288,ok,,1217,24283.0,24287,24288,xgboost
2026,0,A,direct,X1,24294,ok,,1573,24288.0,24293,24294,xgboost
2026,0,A,direct,X1,24303,ok,,1928,24294.0,24302,24303,xgboost
2026,0,A,direct,X1,24306,ok,,2832,24303.0,24305,24306,xgboost
2026,0,A,direct,X1,24308,ok,,2896,24306.0,24307,24308,xgboost
2026,0,A,direct,X1,24309,ok,,2900,24308.0,24308,24309,xgboost
2026,0,A,direct,X2,24288,ok,,1217,24283.0,24287,24288,xgboost
2026,0,A,direct,X2,24294,ok,,1573,24288.0,24293,24294,xgboost
2026,0,A,direct,X2,24303,ok,,1928,24294.0,24302,24303,xgboost
2026,0,A,direct,X2,24306,ok,,2832,24303.0,24305,24306,xgboost
2026,0,A,direct,X2,24308,ok,,2896,24306.0,24307,24308,xgboost
2026,0,A,direct,X2,24309,ok,,2900,24308.0,24308,24309,xgboost
2026,0,A,direct,X3,24288,ok,,1217,24283.0,24287,24288,xgboost
2026,0,A,direct,X3,24294,ok,,1573,24288.0,24293,24294,xgboost
2026,0,A,direct,X3,24303,ok,,1928,24294.0,24302,24303,xgboost
2026,0,A,direct,X3,24306,ok,,2832,24303.0,24305,24306,xgboost
2026,0,A,direct,X3,24308,ok,,2896,24306.0,24307,24308,xgboost
2026,0,A,direct,X3,24309,ok,,2900,24308.0,24308,24309,xgboost
2026,0,A,direct,X4,24288,ok,,1217,24283.0,24287,24288,xgboost
2026,0,A,direct,X4,24294,ok,,1573,24288.0,24293,24294,xgboost
2026,0,A,direct,X4,24303,ok,,1928,24294.0,24302,24303,xgboost
2026,0,A,direct,X4,24306,ok,,2832,24303.0,24305,24306,xgboost
2026,0,A,direct,X4,24308,ok,,2896,24306.0,24307,24308,xgboost
2026,0,A,direct,X4,24309,ok,,2900,24308.0,24308,24309,xgboost
2026,0,A,direct,X5,24288,ok,,1217,24283.0,24287,24288,xgboost
2026,0,A,direct,X5,24294,ok,,1573,24288.0,24293,24294,xgboost
2026,0,A,direct,X5,24303,ok,,1928,24294.0,24302,24303,xgboost
2026,0,A,direct,X5,24306,ok,,2832,24303.0,24305,24306,xgboost
2026,0,A,direct,X5,24308,ok,,2896,24306.0,24307,24308,xgboost
2026,0,A,direct,X5,24309,ok,,2900,24308.0,24308,24309,xgboost
2026,0,A,direct,X6,24288,ok,,1217,24283.0,24287,24288,xgboost
2026,0,A,direct,X6,24294,ok,,1573,24288.0,24293,24294,xgboost
2026,0,A,direct,X6,24303,ok,,1928,24294.0,24302,24303,xgboost
2026,0,A,direct,X6,24306,ok,,2832,24303.0,24305,24306,xgboost
2026,0,A,direct,X6,24308,ok,,2896,24306.0,24307,24308,xgboost
2026,0,A,direct,X6,24309,ok,,2900,24308.0,24308,24309,xgboost
2026,0,B,direct,X1,24288,ok,,1217,24283.0,24287,24288,xgboost
2026,0,B,direct,X1,24294,ok,,1573,24288.0,24293,24294,xgboost
2026,0,B,direct,X1,24303,ok,,1928,24294.0,24302,24303,xgboost
2026,0,B,direct,X1,24306,ok,,2832,24303.0,24305,24306,xgboost
2026,0,B,direct,X1,24308,ok,,2896,24306.0,24307,24308,xgboost
2026,0,B,direct,X1,24309,ok,,2900,24308.0,24308,24309,xgboost
2026,0,B,direct,X2,24288,ok,,1217,24283.0,24287,24288,xgboost
2026,0,B,direct,X2,24294,ok,,1573,24288.0,24293,24294,xgboost
2026,0,B,direct,X2,24303,ok,,1928,24294.0,24302,24303,xgboost
2026,0,B,direct,X2,24306,ok,,2832,24303.0,24305,24306,xgboost
2026,0,B,direct,X2,24308,ok,,2896,24306.0,24307,24308,xgboost
2026,0,B,direct,X2,24309,ok,,2900,24308.0,24308,24309,xgboost
2026,0,B,direct,X3,24288,ok,,1217,24283.0,24287,24288,xgboost
2026,0,B,direct,X3,24294,ok,,1573,24288.0,24293,24294,xgboost
2026,0,B,direct,X3,24303,ok,,1928,24294.0,24302,24303,xgboost
2026,0,B,direct,X3,24306,ok,,2832,24303.0,24305,24306,xgboost
2026,0,B,direct,X3,24308,ok,,2896,24306.0,24307,24308,xgboost
2026,0,B,direct,X3,24309,ok,,2900,24308.0,24308,24309,xgboost
2026,0,B,direct,X4,24288,ok,,1217,24283.0,24287,24288,xgboost
2026,0,B,direct,X4,24294,ok,,1573,24288.0,24293,24294,xgboost
2026,0,B,direct,X4,24303,ok,,1928,24294.0,24302,24303,xgboost
2026,0,B,direct,X4,24306,ok,,2832,24303.0,24305,24306,xgboost
2026,0,B,direct,X4,24308,ok,,2896,24306.0,24307,24308,xgboost
2026,0,B,direct,X4,24309,ok,,2900,24308.0,24308,24309,xgboost
2026,0,B,direct,X5,24288,ok,,1217,24283.0,24287,24288,xgboost
2026,0,B,direct,X5,24294,ok,,1573,24288.0,24293,24294,xgboost
2026,0,B,direct,X5,24303,ok,,1928,24294.0,24302,24303,xgboost
2026,0,B,direct,X5,24306,ok,,2832,24303.0,24305,24306,xgboost
2026,0,B,direct,X5,24308,ok,,2896,24306.0,24307,24308,xgboost
2026,0,B,direct,X5,24309,ok,,2900,24308.0,24308,24309,xgboost
2026,0,B,direct,X6,24288,ok,,1217,24283.0,24287,24288,xgboost
2026,0,B,direct,X6,24294,ok,,1573,24288.0,24293,24294,xgboost
2026,0,B,direct,X6,24303,ok,,1928,24294.0,24302,24303,xgboost
2026,0,B,direct,X6,24306,ok,,2832,24303.0,24305,24306,xgboost
2026,0,B,direct,X6,24308,ok,,2896,24306.0,24307,24308,xgboost
2026,0,B,direct,X6,24309,ok,,2900,24308.0,24308,24309,xgboost
2026,0,D,direct,X1,24288,ok,,1217,24283.0,24287,24288,xgboost
2026,0,D,direct,X1,24294,ok,,1573,24288.0,24293,24294,xgboost
2026,0,D,direct,X1,24303,ok,,1928,24294.0,24302,24303,xgboost
2026,0,D,direct,X1,24306,ok,,2832,24303.0,24305,24306,xgboost
2026,0,D,direct,X1,24308,ok,,2896,24306.0,24307,24308,xgboost
2026,0,D,direct,X1,24309,ok,,2900,24308.0,24308,24309,xgboost
2026,0,D,direct,X2,24288,ok,,1217,24283.0,24287,24288,xgboost
2026,0,D,direct,X2,24294,ok,,1573,24288.0,24293,24294,xgboost
2026,0,D,direct,X2,24303,ok,,1928,24294.0,24302,24303,xgboost
2026,0,D,direct,X2,24306,ok,,2832,24303.0,24305,24306,xgboost
2026,0,D,direct,X2,24308,ok,,2896,24306.0,24307,24308,xgboost
2026,0,D,direct,X2,24309,ok,,2900,24308.0,24308,24309,xgboost
2026,0,D,direct,X3,24288,ok,,1217,24283.0,24287,24288,xgboost
2026,0,D,direct,X3,24294,ok,,1573,24288.0,24293,24294,xgboost
2026,0,D,direct,X3,24303,ok,,1928,24294.0,24302,24303,xgboost
2026,0,D,direct,X3,24306,ok,,2832,24303.0,24305,24306,xgboost
2026,0,D,direct,X3,24308,ok,,2896,24306.0,24307,24308,xgboost
2026,0,D,direct,X3,24309,ok,,2900,24308.0,24308,24309,xgboost
2026,0,D,direct,X4,24288,ok,,1217,24283.0,24287,24288,xgboost
2026,0,D,direct,X4,24294,ok,,1573,24288.0,24293,24294,xgboost
2026,0,D,direct,X4,24303,ok,,1928,24294.0,24302,24303,xgboost
2026,0,D,direct,X4,24306,ok,,2832,24303.0,24305,24306,xgboost
2026,0,D,direct,X4,24308,ok,,2896,24306.0,24307,24308,xgboost
2026,0,D,direct,X4,24309,ok,,2900,24308.0,24308,24309,xgboost
2026,0,D,direct,X5,24288,ok,,1217,24283.0,24287,24288,xgboost
2026,0,D,direct,X5,24294,ok,,1573,24288.0,24293,24294,xgboost
2026,0,D,direct,X5,24303,ok,,1928,24294.0,24302,24303,xgboost
2026,0,D,direct,X5,24306,ok,,2832,24303.0,24305,24306,xgboost
2026,0,D,direct,X5,24308,ok,,2896,24306.0,24307,24308,xgboost
2026,0,D,direct,X5,24309,ok,,2900,24308.0,24308,24309,xgboost
2026,0,D,direct,X6,24288,ok,,1217,24283.0,24287,24288,xgboost
2026,0,D,direct,X6,24294,ok,,1573,24288.0,24293,24294,xgboost
2026,0,D,direct,X6,24303,ok,,1928,24294.0,24302,24303,xgboost
2026,0,D,direct,X6,24306,ok,,2832,24303.0,24305,24306,xgboost
2026,0,D,direct,X6,24308,ok,,2896,24306.0,24307,24308,xgboost
2026,0,D,direct,X6,24309,ok,,2900,24308.0,24308,24309,xgboost
2026,0,D,residual,X1,24288,ok,,997,24283.0,24287,24288,xgboost
2026,0,D,residual,X1,24294,ok,,1336,24288.0,24293,24294,xgboost
2026,0,D,residual,X1,24303,ok,,1686,24294.0,24302,24303,xgboost
2026,0,D,residual,X1,24306,ok,,2576,24303.0,24305,24306,xgboost
2026,0,D,residual,X1,24308,ok,,2640,24306.0,24307,24308,xgboost
2026,0,D,residual,X1,24309,ok,,2644,24308.0,24308,24309,xgboost
2026,0,D,residual,X2,24288,ok,,997,24283.0,24287,24288,xgboost
2026,0,D,residual,X2,24294,ok,,1336,24288.0,24293,24294,xgboost
2026,0,D,residual,X2,24303,ok,,1686,24294.0,24302,24303,xgboost
2026,0,D,residual,X2,24306,ok,,2576,24303.0,24305,24306,xgboost
2026,0,D,residual,X2,24308,ok,,2640,24306.0,24307,24308,xgboost
2026,0,D,residual,X2,24309,ok,,2644,24308.0,24308,24309,xgboost
2026,0,D,residual,X3,24288,ok,,997,24283.0,24287,24288,xgboost
2026,0,D,residual,X3,24294,ok,,1336,24288.0,24293,24294,xgboost
2026,0,D,residual,X3,24303,ok,,1686,24294.0,24302,24303,xgboost
2026,0,D,residual,X3,24306,ok,,2576,24303.0,24305,24306,xgboost
2026,0,D,residual,X3,24308,ok,,2640,24306.0,24307,24308,xgboost
2026,0,D,residual,X3,24309,ok,,2644,24308.0,24308,24309,xgboost
2026,0,D,residual,X4,24288,ok,,997,24283.0,24287,24288,xgboost
2026,0,D,residual,X4,24294,ok,,1336,24288.0,24293,24294,xgboost
2026,0,D,residual,X4,24303,ok,,1686,24294.0,24302,24303,xgboost
2026,0,D,residual,X4,24306,ok,,2576,24303.0,24305,24306,xgboost
2026,0,D,residual,X4,24308,ok,,2640,24306.0,24307,24308,xgboost
2026,0,D,residual,X4,24309,ok,,2644,24308.0,24308,24309,xgboost
2026,0,D,residual,X5,24288,ok,,997,24283.0,24287,24288,xgboost
2026,0,D,residual,X5,24294,ok,,1336,24288.0,24293,24294,xgboost
2026,0,D,residual,X5,24303,ok,,1686,24294.0,24302,24303,xgboost
2026,0,D,residual,X5,24306,ok,,2576,24303.0,24305,24306,xgboost
2026,0,D,residual,X5,24308,ok,,2640,24306.0,24307,24308,xgboost
2026,0,D,residual,X5,24309,ok,,2644,24308.0,24308,24309,xgboost
2026,0,D,residual,X6,24288,ok,,997,24283.0,24287,24288,xgboost
2026,0,D,residual,X6,24294,ok,,1336,24288.0,24293,24294,xgboost
2026,0,D,residual,X6,24303,ok,,1686,24294.0,24302,24303,xgboost
2026,0,D,residual,X6,24306,ok,,2576,24303.0,24305,24306,xgboost
2026,0,D,residual,X6,24308,ok,,2640,24306.0,24307,24308,xgboost
2026,0,D,residual,X6,24309,ok,,2644,24308.0,24308,24309,xgboost
2025,3,A,direct,X3,24283,ok,,1998,24278.0,24280,24280,xgboost
2025,3,A,direct,X3,24288,ok,,2346,24283.0,24285,24285,xgboost
2025,3,A,direct,X3,24294,ok,,2702,24288.0,24291,24291,xgboost
2025,3,B,direct,X1,24283,ok,,1998,24278.0,24280,24280,xgboost
2025,3,B,direct,X1,24288,ok,,2346,24283.0,24285,24285,xgboost
2025,3,B,direct,X1,24294,ok,,2702,24288.0,24291,24291,xgboost
2025,3,C,direct,X1,24283,ok,,1998,24278.0,24280,24280,xgboost
2025,3,C,direct,X1,24288,ok,,2346,24283.0,24285,24285,xgboost
2025,3,C,direct,X1,24294,ok,,2702,24288.0,24291,24291,xgboost
2025,3,D,direct,X6,24283,ok,,1998,24278.0,24280,24280,xgboost
2025,3,D,direct,X6,24288,ok,,2346,24283.0,24285,24285,xgboost
2025,3,D,direct,X6,24294,ok,,2702,24288.0,24291,24291,xgboost
2025,3,D,residual,X6,24283,ok,,1285,24278.0,24280,24280,xgboost
2025,3,D,residual,X6,24288,ok,,1606,24283.0,24285,24285,xgboost
2025,3,D,residual,X6,24294,ok,,1945,24288.0,24291,24291,xgboost
2026,3,A,direct,X2,24306,ok,,2832,24303.0,24303,24303,xgboost
2026,3,A,direct,X2,24308,ok,,2832,24303.0,24305,24305,xgboost
2026,3,A,direct,X2,24309,ok,,2896,24306.0,24306,24306,xgboost
2026,3,B,direct,X6,24306,ok,,2832,24303.0,24303,24303,xgboost
2026,3,B,direct,X6,24308,ok,,2832,24303.0,24305,24305,xgboost
2026,3,B,direct,X6,24309,ok,,2896,24306.0,24306,24306,xgboost
2026,3,C,direct,X6,24306,ok,,2832,24303.0,24303,24303,xgboost
2026,3,C,direct,X6,24308,ok,,2832,24303.0,24305,24305,xgboost
2026,3,C,direct,X6,24309,ok,,2896,24306.0,24306,24306,xgboost
2026,3,D,direct,X1,24306,ok,,2832,24303.0,24303,24303,xgboost
2026,3,D,direct,X1,24308,ok,,2832,24303.0,24305,24305,xgboost
2026,3,D,direct,X1,24309,ok,,2896,24306.0,24306,24306,xgboost
2026,3,D,residual,X1,24306,ok,,2566,24303.0,24303,24303,xgboost
2026,3,D,residual,X1,24308,ok,,2566,24303.0,24305,24305,xgboost
2026,3,D,residual,X1,24309,ok,,2630,24306.0,24306,24306,xgboost
2025,6,A,direct,X3,24283,ok,,1653,24276.0,24277,24277,xgboost
2025,6,A,direct,X3,24288,ok,,1998,24278.0,24282,24282,xgboost
2025,6,A,direct,X3,24294,ok,,2702,24288.0,24288,24288,xgboost
2025,6,B,direct,X1,24283,ok,,1653,24276.0,24277,24277,xgboost
2025,6,B,direct,X1,24288,ok,,1998,24278.0,24282,24282,xgboost
2025,6,B,direct,X1,24294,ok,,2702,24288.0,24288,24288,xgboost
2025,6,C,direct,X1,24283,ok,,1653,24276.0,24277,24277,xgboost
2025,6,C,direct,X1,24288,ok,,1998,24278.0,24282,24282,xgboost
2025,6,C,direct,X1,24294,ok,,2702,24288.0,24288,24288,xgboost
2025,6,D,direct,X6,24283,ok,,1653,24276.0,24277,24277,xgboost
2025,6,D,direct,X6,24288,ok,,1998,24278.0,24282,24282,xgboost
2025,6,D,direct,X6,24294,ok,,2702,24288.0,24288,24288,xgboost
2025,6,D,residual,X6,24283,ok,,631,24276.0,24277,24277,xgboost
2025,6,D,residual,X6,24288,ok,,816,24278.0,24282,24282,xgboost
2025,6,D,residual,X6,24294,ok,,1302,24288.0,24288,24288,xgboost
2026,6,A,direct,X2,24306,ok,,1928,24294.0,24300,24300,xgboost
2026,6,A,direct,X2,24308,ok,,1928,24294.0,24302,24302,xgboost
2026,6,A,direct,X2,24309,ok,,2832,24303.0,24303,24303,xgboost
2026,6,B,direct,X6,24306,ok,,1928,24294.0,24300,24300,xgboost
2026,6,B,direct,X6,24308,ok,,1928,24294.0,24302,24302,xgboost
2026,6,B,direct,X6,24309,ok,,2832,24303.0,24303,24303,xgboost
2026,6,C,direct,X6,24306,ok,,1928,24294.0,24300,24300,xgboost
2026,6,C,direct,X6,24308,ok,,1928,24294.0,24302,24302,xgboost
2026,6,C,direct,X6,24309,ok,,2832,24303.0,24303,24303,xgboost
2026,6,D,direct,X1,24306,ok,,1928,24294.0,24300,24300,xgboost
2026,6,D,direct,X1,24308,ok,,1928,24294.0,24302,24302,xgboost
2026,6,D,direct,X1,24309,ok,,2832,24303.0,24303,24303,xgboost
2026,6,D,residual,X1,24306,ok,,1502,24294.0,24300,24300,xgboost
2026,6,D,residual,X1,24308,ok,,1502,24294.0,24302,24302,xgboost
2026,6,D,residual,X1,24309,ok,,2392,24303.0,24303,24303,xgboost
2025,12,A,direct,X3,24278,ok,,43,24264.0,24266,24266,xgboost
2025,12,A,direct,X3,24283,ok,,603,24270.0,24271,24271,xgboost
2025,12,A,direct,X3,24288,ok,,1653,24276.0,24276,24276,xgboost
2025,12,B,direct,X1,24278,ok,,43,24264.0,24266,24266,xgboost
2025,12,B,direct,X1,24283,ok,,603,24270.0,24271,24271,xgboost
2025,12,B,direct,X1,24288,ok,,1653,24276.0,24276,24276,xgboost
2025,12,C,direct,X1,24278,ok,,43,24264.0,24266,24266,xgboost
2025,12,C,direct,X1,24283,ok,,603,24270.0,24271,24271,xgboost
