test_year,horizon,n_primary,n_wider_only,n_excluded,cohort,view,status,reason,n,n_areas,raw_r2,raw_rmse,raw_mae,raw_bias,raw_mean_truth,raw_mean_pred,final_r2,final_rmse,final_mae,final_bias,final_mean_truth,final_mean_pred,raw_auc,final_auc,final_within_month_auc,within_month_auc_months,within_month_auc_undefined_months,raw_within_month_auc,bin_f1,bin_recall,bin_precision,bin_f2,bin_tp,bin_fp,bin_fn,bin_tn,legacy_phase_accuracy,legacy_f1,legacy_recall,legacy_precision,legacy_f2,legacy_tp,legacy_fp,legacy_fn,legacy_tn,q3_binary_vs_legacy_disagreements,n_clipped,n_fallback_direct,n_residual_branch
2025,3,275,1601,0,phase_persistence_subset,A,ok,,270.0,132.0,-1.2014870917778757,0.19485773551811267,0.16893871860371698,0.12437560678632172,0.215,0.3393756067863217,-0.44836306825960937,0.1580513830902251,0.13176558635908195,0.04979953984679037,0.215,0.2647995398467904,0.49233895326486893,0.49233895326486893,0.48914582128397915,2.0,1.0,0.48914582128397915,0.6346666666666667,0.8561151079136691,0.5042372881355932,0.7512626262626263,119.0,117.0,20.0,14.0,0.4666666666666667,0.6533665835411472,0.9424460431654677,0.5,0.8007334963325183,131.0,131.0,8.0,0.0,26.0,0.0,0.0,0.0
2025,3,275,1601,0,phase_persistence_subset,B,ok,,270.0,132.0,-0.5465890828269333,0.16332288755094604,0.13853633660961082,0.08175509306015792,0.215,0.2967550930601579,-0.1789790812654013,0.14259773564098335,0.11372931400694085,0.018537633431263006,0.215,0.23353763343126305,0.5552199461804602,0.5552199461804602,0.6195246529786004,2.0,1.0,0.6195246529786004,0.6449704142011834,0.7841726618705036,0.5477386934673367,0.7218543046357616,109.0,90.0,30.0,41.0,0.4666666666666667,0.6481012658227848,0.920863309352518,0.5,0.7881773399014779,128.0,128.0,11.0,3.0,57.0,0.0,0.0,0.0
2025,3,275,1601,0,phase_persistence_subset,C,ok,,270.0,132.0,-1.1815315217843607,0.19397257265138668,0.1697253167960379,0.1291196296502043,0.215,0.34411962965020426,-0.4402335447163219,0.1576071952596747,0.13007104484896026,0.062342183292130954,0.215,0.27734218329213095,0.5838870888022407,0.5838870888022407,0.6138756747638326,2.0,1.0,0.6138756747638326,0.6684350132625995,0.9064748201438849,0.5294117647058824,0.7934508816120907,126.0,112.0,13.0,19.0,0.45555555555555555,0.65,0.935251798561151,0.49808429118773945,0.795593635250918,130.0,131.0,9.0,0.0,23.0,0.0,0.0,0.0
2025,3,275,1601,0,phase_persistence_subset,D_direct,ok,,270.0,132.0,-0.8615327560191954,0.17918222321706148,0.14436790734529495,0.10801093301287405,0.215,0.32301093301287404,-0.8615327560191954,0.17918222321706148,0.14436790734529495,0.10801093301287405,0.215,0.32301093301287404,0.5736174419243231,0.5736174419243231,0.7055140254482359,2.0,1.0,0.7055140254482359,0.6954177897574124,0.9280575539568345,0.5560344827586207,0.8185279187817259,129.0,103.0,10.0,28.0,0.562962962962963,0.6954177897574124,0.9280575539568345,0.5560344827586207,0.8185279187817259,129.0,103.0,10.0,28.0,0.0,0.0,0.0,0.0
2025,3,275,1601,0,phase_persistence_subset,D_residual,ok,,270.0,132.0,-0.2575434756971182,0.1472723048622989,0.11520338144754655,0.04598745863253593,0.215,0.2609874586325359,0.02099018768680505,0.1299430636498222,0.1050165081102389,0.021137070243525152,0.215,0.23613707024352515,0.6658795101323521,0.6563237959250919,0.7036984287642183,2.0,1.0,0.7153895556198188,0.696165191740413,0.8489208633093526,0.59,0.7804232804232805,118.0,82.0,21.0,49.0,0.5888888888888889,0.696165191740413,0.8489208633093526,0.59,0.7804232804232805,118.0,82.0,21.0,49.0,0.0,0.0,2.0,268.0
2025,3,275,1601,0,phase_persistence_subset,D_selected,ok,,270.0,132.0,-0.2575434756971182,0.1472723048622989,0.11520338144754655,0.04598745863253593,0.215,0.2609874586325359,0.02099018768680505,0.1299430636498222,0.1050165081102389,0.021137070243525152,0.215,0.23613707024352515,0.6658795101323521,0.6563237959250919,0.7036984287642183,2.0,1.0,0.7153895556198188,0.696165191740413,0.8489208633093526,0.59,0.7804232804232805,118.0,82.0,21.0,49.0,0.5888888888888889,0.696165191740413,0.8489208633093526,0.59,0.7804232804232805,118.0,82.0,21.0,49.0,0.0,0.0,2.0,268.0
2025,3,275,1601,0,primary,always_crisis,ok,,275.0,,,,,,,,,,,,,,,,,,,,0.6746987951807228,1.0,0.509090909090909,0.8383233532934131,140.0,135.0,0.0,0.0,,,,,,,,,,,,,
2025,3,275,1601,0,primary,v1_D_raw,ok,,275.0,,,,,,,,-0.30207805889891937,0.14903961227228807,0.12041897599263626,0.06322226367213506,0.21363636363636362,0.27685862730849875,,0.6125661375661375,,,,,0.664756446991404,0.8285714285714286,0.5550239234449761,0.7542262678803641,116.0,93.0,24.0,42.0,,,,,,,,,,,,,
2025,3,275,1601,0,primary,v1_D_isotonic,ok,,275.0,,,,,,,,0.07380430107474112,0.12569979854029364,0.10392468842717864,0.019900616358248188,0.21363636363636362,0.23353697999461184,,0.6104761904761905,,,,,0.6968085106382979,0.9357142857142857,0.5550847457627118,0.8228643216080402,131.0,105.0,9.0,30.0,,,,,,,,,,,,,
2025,6,275,1601,0,primary,A,ok,,275.0,132.0,-0.31204025561196547,0.14960867676129708,0.1303189768899571,0.0782192882082679,0.21363636363636362,0.2918556518446315,0.04645060049099048,0.12754246320818302,0.09954149230821152,-0.001606488951885358,0.21363636363636362,0.21202987468447831,0.6919047619047619,0.6919047619047619,0.678682091543643,2.0,1.0,0.678682091543643,0.6476868327402135,0.65,0.6453900709219859,0.6490727532097005,91.0,50.0,49.0,85.0,0.4618181818181818,0.6731234866828087,0.9928571428571429,0.5091575091575091,0.8343337334933973,139.0,134.0,1.0,1.0,132.0,0.0,0.0,0.0
