test_year,horizon,cohort,n_rows,n_areas,target_months,cohort_sha256,specification,status,reason,tp,fp,fn,tn,n,precision,precision_reason,recall,recall_reason,f1,f1_reason,f2,f2_reason,prevalence,accuracy,accuracy_reason,r2_q3,r2_q3_reason,predicted_prevalence,n_actual_phase1,n_pred_phase1,n_actual_phase2,n_pred_phase2,n_actual_phase3,n_pred_phase3,n_actual_phase4,n_pred_phase4,n_actual_phase5,n_pred_phase5,mean_q3_pred
2025,3,persistence_subset,270,132,2025-04;2025-07;2025-10,62cf413be2f13a8aa859fb468d658931ae69c5f17a012214d02043e20aa05f4e,D,ok,,115.0,89.0,24.0,42.0,270.0,0.5637254901960784,,0.8273381294964028,,0.6705539358600583,,0.756578947368421,,0.5148148148148148,0.562962962962963,,-0.24697078527781624,,0.7555555555555555,7.0,1.0,124.0,65.0,126.0,203.0,13.0,1.0,0.0,0.0,0.27508552775338846
2025,3,persistence_subset,270,132,2025-04;2025-07;2025-10,62cf413be2f13a8aa859fb468d658931ae69c5f17a012214d02043e20aa05f4e,persistence,ok,,89.0,40.0,50.0,91.0,270.0,0.689922480620155,,0.6402877697841727,,0.664179104477612,,0.6496350364963503,,0.5148148148148148,0.5592592592592592,,,not applicable: phase-only baseline,,,,,,,,,,,,
2025,3,persistence_subset,270,132,2025-04;2025-07;2025-10,62cf413be2f13a8aa859fb468d658931ae69c5f17a012214d02043e20aa05f4e,always_crisis,ok,,139.0,131.0,0.0,0.0,270.0,0.5148148148148148,,1.0,,0.6797066014669927,,0.8414043583535109,,0.5148148148148148,,not applicable: binary-only reference,,not applicable: binary-only reference,,,,,,,,,,,,
2025,6,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,A,ok,,136.0,122.0,4.0,13.0,275.0,0.5271317829457365,,0.9714285714285714,,0.6834170854271356,,0.8312958435207825,,0.509090909090909,0.49454545454545457,,-0.10833612125312198,,0.9381818181818182,7.0,0.0,128.0,17.0,127.0,258.0,13.0,0.0,0.0,0.0,0.27596820549531415
2025,6,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,B,ok,,140.0,132.0,0.0,3.0,275.0,0.5147058823529411,,1.0,,0.6796116504854369,,0.8413461538461539,,0.509090909090909,0.4727272727272727,,-0.2674469375019066,,0.9890909090909091,7.0,0.0,128.0,3.0,127.0,272.0,13.0,0.0,0.0,0.0,0.29497874693437054
2025,6,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,C,ok,,139.0,129.0,1.0,6.0,275.0,0.5186567164179104,,0.9928571428571429,,0.6813725490196079,,0.8393719806763285,,0.509090909090909,0.48,,-0.2902568746646892,,0.9745454545454545,7.0,0.0,128.0,7.0,127.0,268.0,13.0,0.0,0.0,0.0,0.29347205633466894
2025,6,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,D,ok,,137.0,113.0,3.0,22.0,275.0,0.548,,0.9785714285714285,,0.7025641025641025,,0.845679012345679,,0.509090909090909,0.5309090909090909,,-0.23829953377482882,,0.9090909090909091,7.0,1.0,128.0,24.0,127.0,249.0,13.0,1.0,0.0,0.0,0.28977915091948075
2025,6,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,always_crisis,ok,,140.0,135.0,0.0,0.0,275.0,0.509090909090909,,1.0,,0.6746987951807228,,0.8383233532934131,,0.509090909090909,,not applicable: binary-only reference,,not applicable: binary-only reference,,,,,,,,,,,,
2025,6,wider_labeled,1876,904,2025-04;2025-07;2025-09;2025-10,0feb5d4c0e199a45039e8d42a6a88ed0c7b6a8a0469f950a183f2eda1bf1e146,A,ok,,983.0,742.0,24.0,127.0,1876.0,0.5698550724637681,,0.9761668321747765,,0.719619326500732,,0.854336867721189,,0.5367803837953091,0.5431769722814499,,-0.08301445756431947,,0.9195095948827292,31.0,0.0,838.0,151.0,919.0,1725.0,88.0,0.0,0.0,0.0,0.2804961454655443
2025,6,wider_labeled,1876,904,2025-04;2025-07;2025-09;2025-10,0feb5d4c0e199a45039e8d42a6a88ed0c7b6a8a0469f950a183f2eda1bf1e146,B,ok,,992.0,790.0,15.0,79.0,1876.0,0.5566778900112234,,0.9851042701092354,,0.7113660810326282,,0.8537005163511188,,0.5367803837953091,0.5218550106609808,,-0.13073244206856072,,0.9498933901918977,31.0,0.0,838.0,94.0,919.0,1780.0,88.0,2.0,0.0,0.0,0.2885434191538962
2025,6,persistence_subset,269,132,2025-04;2025-07;2025-10,64403b0c593b9605f22ae7c25dfd62f483495652d332b4f8a99c7157961f38ca,A,ok,,134.0,118.0,4.0,13.0,269.0,0.5317460317460317,,0.9710144927536232,,0.6871794871794872,,0.8333333333333334,,0.5130111524163569,0.5018587360594795,,-0.07727575621921146,,0.9368029739776952,7.0,0.0,124.0,17.0,126.0,252.0,12.0,0.0,0.0,0.0,0.27477801261559737
