test_year,horizon,cohort,contrast,point_delta_f2_before,ci_low_before,ci_high_before,point_delta_f2_after,ci_low_after,ci_high_after
2025,3,primary,D-always_crisis,-0.084097085413049,-0.1367855387726649,-0.0329196517359533,-0.084097085413049,-0.1367855387726649,-0.0329196517359533
2025,3,persistence_subset,A-persistence,0.1664429172186313,0.0990649301609931,0.23840076147984,0.1562257693644555,0.0904396579402042,0.2297403947859588
2025,3,persistence_subset,B-persistence,0.1562257693644555,0.0896387985022488,0.2299077730208733,0.1385423034051275,0.0693325032737137,0.2120696649301771
2025,3,persistence_subset,C-persistence,0.1562257693644555,0.0910082764450164,0.2280570989722936,0.1459585987545676,0.0812854483355741,0.2162151298364632
2025,3,persistence_subset,D-persistence,0.1069439108720706,0.0552404256314005,0.163376009710625,0.1069439108720706,0.0552404256314005,0.163376009710625
2025,3,persistence_subset,A-always_crisis,-0.0253264046385292,-0.0499013379785294,-0.0052331923103597,-0.035543552492705,-0.0628352221698267,-0.0106554350894273
2025,3,persistence_subset,B-always_crisis,-0.035543552492705,-0.0633880491813366,-0.0109239185846814,-0.053227018452033,-0.0866652947972177,-0.0226726526468305
2025,3,persistence_subset,C-always_crisis,-0.035543552492705,-0.0623429012369259,-0.0106058435258643,-0.0458107231025929,-0.0777193898602375,-0.0196221624009868
2025,3,persistence_subset,D-always_crisis,-0.0848254109850898,-0.1378993066332498,-0.0330779615034099,-0.0848254109850898,-0.1378993066332498,-0.0330779615034099
2025,6,primary,B-A,0.0192270076107832,-0.001151601754825,0.0441763849260844,0.0100503103253714,-0.0084465455213647,0.0318839519805985
2025,6,primary,C-B,-0.004969475329578,-0.0222847885363007,0.008249415749286,-0.0019741731698253,-0.0151070134887806,0.0072283351549292
2025,6,primary,D-C,0.0052609364165335,-0.0180972687641133,0.0282891640204731,0.0063070316693505,-0.0145423771961896,0.025478539627896
2025,6,primary,A-always_crisis,-0.0111174709404719,-0.0366861450482175,0.0101512328138629,-0.0070275097726306,-0.029039059573473,0.0114800078343397
2025,6,primary,B-always_crisis,0.0081095366703112,0.0029793482276896,0.0142975455232748,0.0030228005527407,0.0,0.0071220316494679
2025,6,primary,C-always_crisis,0.0031400613407331,-0.0141273628491006,0.0176559616194435,0.0010486273829153,-0.0116911655513252,0.0099648953543358
2025,6,primary,D-always_crisis,0.0084009977572667,-0.0104539077953419,0.0240643338263912,0.0073556590522658,-0.0108263240931951,0.0223147501560923
2025,6,persistence_subset,A-persistence,0.1828174734041567,0.1103965550380849,0.2615644850028657,0.1869737493808816,0.1166257172324392,0.261263035762626
2025,6,persistence_subset,B-persistence,0.2023489031324191,0.1314843040338348,0.2799237061830409,0.1971611984436362,0.1249332791215724,0.2738867699487003
2025,6,persistence_subset,C-persistence,0.1973128726232306,0.128490236290783,0.2760523318847829,0.1951637575708897,0.1245108863329489,0.271211069105308
2025,6,persistence_subset,D-persistence,0.2026970198211332,0.1337967178350405,0.2771589750625017,0.201630365796292,0.1322614560269973,0.2768621148931453
2025,6,persistence_subset,A-always_crisis,-0.0112614322901637,-0.0377879080125803,0.0103201732571383,-0.0071051563134388,-0.0296669071391012,0.0117658019073293
2025,6,persistence_subset,B-always_crisis,0.0082699974380986,0.0030435979442589,0.0145801975940146,0.0030822927493157,0.0,0.0072287260175066
2025,6,persistence_subset,C-always_crisis,0.00323396692891,-0.0144143253683889,0.01782670350102,0.0010848518765692,-0.0120719293923305,0.0101073609581666
