polygon_id,year,n,TP_count,TN_count,FP_count,FN_count,error_rate,accuracy
13090053,2023,360,144,72,90,54,0.4,0.6
13090056,2023,360,198,0,162,0,0.45,0.55
13090059,2023,360,288,0,72,0,0.2,0.8
13090061,2023,360,198,18,108,36,0.4,0.6
13090063,2022,360,0,342,0,18,0.05,0.95
13090066,2023,360,252,18,72,18,0.25,0.75
13090069,2023,360,324,0,18,18,0.1,0.9
13090071,2023,360,72,252,0,36,0.1,0.9
13090074,2023,360,342,0,18,0,0.05,0.95
13090078,2023,360,306,0,54,0,0.15,0.85
13090080,2023,360,306,0,54,0,0.15,0.85
13090082,2023,360,216,0,144,0,0.4,0.6
13090084,2023,360,234,0,126,0,0.35,0.65
13090086,2022,360,0,252,0,108,0.3,0.7
13090088,2023,360,288,0,18,54,0.2,0.8
13090088,2024,180,180,0,0,0,0.0,1.0
13090090,2023,360,306,0,54,0,0.15,0.85
13090093,2023,360,90,36,162,72,0.65,0.35
13090095,2023,360,72,108,108,72,0.5,0.5
13090097,2023,360,234,0,108,18,0.35,0.65
13090100,2023,360,162,90,90,18,0.3,0.7
13090102,2023,360,270,36,18,36,0.15,0.85
13090104,2023,360,162,72,126,0,0.35,0.65
13090106,2023,360,216,72,54,18,0.2,0.8
13090108,2022,360,0,324,18,18,0.1,0.9
13090110,2023,360,306,0,18,36,0.15,0.85
13090112,2023,360,144,54,144,18,0.45,0.55
13090114,2023,360,306,0,36,18,0.15,0.85
13090116,2023,360,198,0,162,0,0.45,0.55
13090118,2023,360,180,54,90,36,0.35,0.65
13090120,2023,360,288,0,18,54,0.2,0.8
13090122,2023,360,180,18,54,108,0.45,0.55
13090124,2023,360,126,144,18,72,0.25,0.75
13090126,2022,360,36,216,0,108,0.3,0.7
13090128,2023,360,360,0,0,0,0.0,1.0
13090130,2022,360,36,306,18,0,0.05,0.95
13090132,2023,360,18,288,36,18,0.15,0.85
13090134,2022,360,0,180,54,126,0.5,0.5
13090136,2023,360,324,0,0,36,0.1,0.9
13090138,2023,360,126,54,108,72,0.5,0.5
13090140,2023,360,234,18,90,18,0.3,0.7
13090142,2023,360,360,0,0,0,0.0,1.0
13090144,2023,360,306,18,18,18,0.1,0.9
13090146,2023,360,288,18,54,0,0.15,0.85
13090148,2023,360,108,54,126,72,0.55,0.45
13090150,2023,360,162,162,18,18,0.1,0.9
13090152,2023,360,72,108,162,18,0.5,0.5
13090154,2023,360,54,162,72,72,0.4,0.6
13090156,2023,360,288,36,36,0,0.1,0.9
13090158,2023,360,234,0,108,18,0.35,0.65
13090160,2023,360,234,36,72,18,0.25,0.75
13090162,2023,360,144,36,144,36,0.5,0.5
13090164,2023,360,288,0,72,0,0.2,0.8
13090166,2023,180,90,0,90,0,0.5,0.5
13090168,2023,540,432,0,108,0,0.2,0.8
13090168,2024,180,180,0,0,0,0.0,1.0
13090170,2023,360,180,60,100,20,0.3333333333333333,0.6666666666666666
