job_id,view,target,bundle,kind,n_rows,path,sha256,feature_order_sha256
y2025_h00_o2025-10,B,q4,X1,xgboost,3057,y2025_h00_o2025-10_B_q4.ubj,1e925701f41e8ce3d01aa6540deba98a36641904ce311f2f6bb51573c283ac82,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2025_h00_o2025-10,B,q5,X1,xgboost,3057,y2025_h00_o2025-10_B_q5.ubj,ee5c62aced44f0b3960bbdb1bc6268b763d5ecfc1a4f2802f2760fd6f2473712,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2025_h00_o2025-10,B,q3_direct,X1,xgboost,3057,y2025_h00_o2025-10_B_q3_direct.ubj,7397e483be66d0a9f2a4bb401c99cf587083c5fd0233f8662ffdd4a964c3aa66,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2025_h00_o2025-10,D_direct,q2,X1,xgboost,3057,y2025_h00_o2025-10_D_direct_q2.ubj,c560bbc4f4ab8b2cc64306868e4dc7680bdec1efaa40a1479fd7dfa1f2fc7f2d,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-10,D_direct,q4,X1,xgboost,3057,y2025_h00_o2025-10_D_direct_q4.ubj,09598e9b1d6b4cf7f0dba04808723877530aba652229e910bfe32a533b0e382e,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-10,D_direct,q5,X1,xgboost,3057,y2025_h00_o2025-10_D_direct_q5.ubj,6ca4192c868046bb1b1d1eba7373381fe37d70b55f41370a15f2ebc8d7c32733,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-10,D_direct,q3_direct,X1,xgboost,3057,y2025_h00_o2025-10_D_direct_q3_direct.ubj,607b3b8573acee79656f6b0d3fa51813fbb655a12194340f743e2846d83b86b2,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-10,D_residual,q2,X6,xgboost,3057,y2025_h00_o2025-10_D_residual_q2.ubj,aa12d3891b87a793cf462394996004c4541c2cf6eecc881deafbb4e8247fa167,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-10,D_residual,q4,X6,xgboost,3057,y2025_h00_o2025-10_D_residual_q4.ubj,7ca4d2543bd79296182acdee6b221881388343e84eb04beb9fe6ada35f906a4d,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-10,D_residual,q5,X6,xgboost,3057,y2025_h00_o2025-10_D_residual_q5.ubj,dc14386381003e42045f99efe4b4075e0efbfc4f726fcab2e235757cf2efa70f,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
