area_id,region
100538,2
100138,4
100737,2
100639,2
101070,2
101062,2
100884,2
100729,2
100545,2
100999,2
100996,2
100845,2
100291,2
100674,2
100895,2
101317,2
100812,2
100189,2
101212,6
100589,2
100293,2
100687,4
100045,2
101298,2
101146,2
100977,2
100286,2
100966,2
100458,2
101136,2
100944,2
100451,2
100245,2
100051,4
100640,2
100955,2
100741,4
101312,6
101229,2
100960,2
100932,2
100764,2
100047,2
100345,2
100026,4
100318,4
100892,2
100192,2
100882,4
100323,2
101248,2
100238,2
100793,2
100377,2
100032,4
100469,2
101026,2
100629,2
101237,2
101108,2
101182,6
100484,4
101032,4
100637,2
100677,2
100666,2
100432,2
100125,4
100937,2
100113,4
101299,2
101196,2
100046,4
100557,2
100790,2
100927,2
100974,2
100582,2
100981,2
100570,2
100547,2
100257,2
100747,2
100076,2
100760,2
100502,2
100750,6
100732,2
100471,4
100140,2
100232,2
100535,2
101066,2
100751,2
100707,2
100908,4
101246,2
100946,4
1622,5
1621,1
1620,4
1619,1
1618,4
1617,5
1616,7
1615,7
1614,1
1613,1
1612,7
1610,7
1609,5
1608,7
1607,7
1606,7
1605,1
1604,1
1603,7
1602,7
1601,7
1600,1
1599,7
1598,7
1596,7
1595,1
1594,7
1593,7
1592,1
1591,1
1590,4
1589,4
1588,4
1587,5
1586,7
1584,7
1583,1
1582,4
1581,1
1580,4
1579,1
1578,1
1577,4
1576,4
1575,5
1574,4
1573,7
1572,4
1571,5
1570,4
1569,4
1568,4
1567,5
1566,4
1565,4
1564,4
1563,7
1562,7
1561,7
1560,4
1559,1
1558,1
1557,1
1556,5
1555,1
1554,4
1553,1
1552,4
1551,4
1550,4
1549,7
1548,7
1547,7
1546,1
1545,1
1544,4
1543,4
1542,4
1541,4
1540,1
1539,7
1538,7
1537,1
1536,1
1535,1
1534,1
1533,4
1532,1
1531,1
1530,1
1529,1
1528,1
1527,5
1526,1
1525,1
1524,1
1523,1
1522,1
1521,5
1520,4
1519,4
1518,4
1517,7
1516,4
1515,4
1514,1
1513,1
1512,4
1511,1
1510,4
1509,4
1508,1
1507,1
1506,5
1505,4
1504,4
1503,4
1502,4
1501,4
1500,4
1499,4
1498,4
1497,4
1496,5
1495,4
1494,1
1493,1
1492,4
1491,4
1490,5
1098,3
1097,4
1096,4
1095,3
1094,3
1093,3
1092,3
1091,3
1090,3
1089,4
1088,3
1087,3
1086,3
1085,4
1084,4
1083,3
1082,3
1081,4
1080,4
1079,3
1078,3
1077,3
1076,3
1075,3
1074,4
1073,4
1072,4
1071,3
1070,3
1069,3
1068,3
1067,3
1066,4
